AU (Australia)
AT (Austria)
BD (Bangladesh)
BY (Belarus)
BE (Belgium)
BA (Bosnianderzegovina)
BR (Brazil)
BG (Bulgaria)
CA (Canada)
CL (Chile)
CN (China)
CO (Colombia)
HR (Croatia)
CZ (Czechia)
DK (Denmark)
EC (Ecuador)
FI (Finland)
FR (France)
GE (Georgia)
DE (Germany)
GR (Greece)
HK (Hongong)
HU (Hungary)
IS (Iceland)
IN (India)
ID (Indonesia)
IR (Iran)
IE (Ireland)
IL (Israel)
IT (Italy)
JP (Japan)
KZ (Kazakhstan)
KE (Kenya)
LV (Latvia)
LT (Lithuania)
LU (Luxembourg)
MK (Macedonia)
MX (Mexico)
NL (Netherlands)
NC (Newaledonia)
NZ (Newealand)
NO (Norway)
PY (Paraguay)
PH (Philippines)
PL (Poland)
PT (Portugal)
QA (Qatar)
RO (Romania)
RU (Russia)
RS (Serbia)
SG (Singapore)
SK (Slovakia)
SI (Slovenia)
ZA (Southfrica)
KR (Southorea)
ES (Spain)
SE (Sweden)
CH (Switzerland)
TW (Taiwan)
TH (Thailand)
TR (Turkey)
UA (Ukraine)
GB (Unitedingdom)
US (Unitedtates)
VN (Vietnam)
